date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-08-31,Anthony Molina,SFG,SFG @ ATL,2026-08-31T18:05:00+00:00,main,ATL,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,1,Fail,6,5.0,,,Final,,
2026-08-31,Bryce Elder,ATL,SFG @ ATL,2026-08-31T18:05:00+00:00,main,ATL,Mixed,0.91,18,102.2,7.538961225706849,9.203655,25.718016,21.0,,,5.02,,,,,,,,,,,No call,no residual; no Under price,Projected,1.0,Pass,3,5.1,,,Final,,
2026-08-31,Michael King,SDP,SDP @ CIN,2026-08-31T18:40:00+00:00,main,CIN,Mixed,0.91,19,108.1,7.64307728192032,10.283073,27.383015999999998,24.5,,,4.95,,,,,,,,,,,No call,no residual; no Under price,Projected,1.0,Pass,6,6.0,,,Final,,
2026-08-31,Brady Singer,CIN,SDP @ CIN,2026-08-31T18:40:00+00:00,main,CIN,CS-Dependent,0.9,18,89.2,7.628253004457069,9.84127,28.31746,24.2,,,4.75,,,,,,,,,,,No call,no residual; no Under price,Projected,1.0,Pass,5,4.1,,,Final,,
2026-08-31,Robert Stock,NYM,NYM @ TBR,2026-08-31T18:40:00+00:00,main,TBR,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,4,5.1,,,Final,,
2026-08-31,Ian Seymour,TBR,NYM @ TBR,2026-08-31T18:40:00+00:00,main,TBR,Mixed,0.91,5,61.1,10.565218924574904,13.496933,31.492842999999997,28.4,,,,,,,,,,,,,,Watch List,GS=5 < 10,Projected,0,Fail,10,6.1,,,Final,,
2026-08-31,George Kirby,SEA,SEA @ BOS,2026-08-31T18:45:00+00:00,main,BOS,Mixed,0.91,18,110,8.018181818181818,10.964649,26.243259000000002,21.7,,,5.25,,,,,,,,,,,No call,no residual; no Under price,Projected,2.0,Pass,2,5.0,,,Final,,
2026-08-31,Payton Tolle,BOS,SEA @ BOS,2026-08-31T18:45:00+00:00,main,BOS,Mixed,0.91,14,80.1,8.962656169125642,11.940299,25.953566,27.5,,,5.25,,,,,,,,,,,No call,no residual; no Under price,Projected,2.0,Pass,6,5.2,,,Final,,
2026-08-31,Ryan Gusto,MIA,MIA @ WSN,2026-08-31T18:45:00+00:00,main,WSN,Mixed,0.91,6,24.1,8.136986726577275,9.433962,24.292453,21.0,,,,,,,,,,,,,,Watch List,GS=6 < 10,Projected,6,Fail,4,4.1,,,Final,,
2026-08-31,Will Dion,WSN,MIA @ WSN,2026-08-31T18:45:00+00:00,main,WSN,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,6,Fail,1,3.0,,,Final,,
2026-08-31,Jackson Jobe,DET,DET @ MIN,2026-08-31T19:40:00+00:00,late,MIN,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,4,5.0,,,Final,,
2026-08-31,Taj Bradley,MIN,DET @ MIN,2026-08-31T19:40:00+00:00,late,MIN,Mixed,0.91,17,95.2,10.536585645950414,11.543135,27.703524,,,,5.4,8.5,100,-135,,,,8.5,-135,DK,-3.1,Under,"Gate PASS: residual -3.10 ≤ -0.75, qualifying Under -135 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,9,7.0,,,Final,OVER,BF LOSS
2026-08-31,Kyle Harrison,MIL,MIL @ CHC,2026-08-31T19:40:00+00:00,late,CHC,Mixed,0.91,17,83.2,10.864542162907883,13.374486,30.246914000000004,,,,5.62,,,,,,,,,,,No call,no residual; no Under price,Projected,3.0,Pass,3,3.2,,,Final,,
2026-08-31,Clay Holmes,CHC,MIL @ CHC,2026-08-31T19:40:00+00:00,late,CHC,Mixed,0.91,9,52.2,7.6898737890448166,9.178744,27.294686000000002,,,,,6.5,135,-180,,,,6.5,-180,DK,,Watch List,GS=9 < 10,Projected,3,Fail,8,6.0,,,Final,OVER,
2026-08-31,Gage Jump,OAK,OAK @ TEX,2026-08-31T20:05:00+00:00,late,TEX,Mixed,0.91,8,43,8.581395348837209,10.635359,26.933701999999997,,,,,4.5,-175,130,,,,4.5,130,DK,,Watch List,GS=8 < 10,Projected,0,Fail,2,4.1,,,Final,UNDER,
2026-08-31,Jacob deGrom,TEX,OAK @ TEX,2026-08-31T20:05:00+00:00,late,TEX,Mixed,0.91,18,100.2,10.907285043761526,16.811955,30.697385,,,,5.49,6.5,-135,100,,,,6.5,100,DK,-1.01,No call,best Under 100 (DK) > -130,Projected,0.0,Pass,8,7.0,,,Final,OVER,
2026-08-31,Anthony Kay,CWS,CWS @ HOU,2026-08-31T20:10:00+00:00,late,HOU,Mixed,0.91,17,89.1,7.152985558249081,9.541284,25.504587,,,,4.75,4.5,-155,115,,,,4.5,115,DK,0.25,No call,residual +0.25 > -0.75; best Under 115 (DK) > -130,Projected,0.0,Pass,5,4.2,,,Final,OVER,
2026-08-31,Peter Lambert,HOU,CWS @ HOU,2026-08-31T20:10:00+00:00,late,HOU,Mixed,0.91,14,80,8.325,10.454545,24.69697,,,,5.3,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,6,4.2,,,Final,,
