date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-08-20,Michael McGreevy,STL,STL @ CIN,2026-08-20T12:40:00+00:00,main,CIN,Mixed,0.91,18,101.2,5.842623096969432,7.808564,24.370277,19.3,,,4.35,4.5,-101,-127,4.5,100,-128,4.5,-127,DK,-0.15,No call,residual -0.15 > -0.75; best Under -127 (DK) > -130,Projected,4.0,Pass,4,5.1,,,Final,UNDER,
2026-08-20,Brady Singer,CIN,STL @ CIN,2026-08-20T12:40:00+00:00,main,CIN,CS-Dependent,0.9,18,89.2,7.628253004457069,9.84127,28.31746,24.6,,,4.75,4.5,103,-132,4.5,112,-142,4.5,-142,FD,0.25,No call,residual +0.25 > -0.75,Projected,4.0,Pass,3,6.0,,,Final,UNDER,
2026-08-20,Landen Roupp,SFG,SFG @ CLE,2026-08-20T13:10:00+00:00,main,CLE,Mixed,0.91,18,97,9.649484536082474,10.305124000000001,27.576281,24.4,,,5.47,4.5,109,-139,4.5,118,-150,4.5,-150,FD,0.97,No call,residual +0.97 > -0.75,Projected,2.0,Pass,2,5.1,,,Final,UNDER,
2026-08-20,Gavin Williams,CLE,SFG @ CLE,2026-08-20T13:10:00+00:00,main,CLE,Mixed,0.91,19,113.1,10.641176948151395,13.244296,31.274345999999998,30.7,,,5.73,7.5,-111,-114,7.5,102,-130,7.5,-130,FD,-1.77,Under,"Gate PASS: residual -1.77 ≤ -0.75, qualifying Under -130 (FD), Rule 5 pass, PPD ≤ 50%",Projected,2.0,Pass,11,5.2,,,Final,OVER,BF LOSS
2026-08-20,Shane Bieber,TOR,TOR @ TBR,2026-08-20T13:10:00+00:00,main,TBR,Mixed,0.91,,,,,,,,,,3.5,-137,107,3.5,-122,-104,3.5,107,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,7,7.0,,,Final,OVER,
2026-08-20,Ian Seymour,TBR,TOR @ TBR,2026-08-20T13:10:00+00:00,main,TBR,Mixed,0.91,5,61.1,10.565218924574904,13.496933,31.492842999999997,29.3,,,,5.5,112,-143,5.5,118,-150,5.5,-150,FD,,Watch List,GS=5 < 10,Projected,0,Fail,8,5.0,,,Final,OVER,
2026-08-20,Gage Jump,OAK,OAK @ KCR,2026-08-20T14:10:00+00:00,main,KCR,Mixed,0.91,8,43,8.581395348837209,10.635359,26.933701999999997,24.2,,,,4.5,-145,113,4.5,-148,116,4.5,116,FD,,Watch List,GS=8 < 10,Projected,0,Fail,3,4.0,,,Final,UNDER,
2026-08-20,Randy Dobnak,KCR,OAK @ KCR,2026-08-20T14:10:00+00:00,main,KCR,Mixed,0.91,,,,,,,,,,3.5,119,-152,3.5,122,-156,3.5,-156,FD,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,4,4.0,,,Final,OVER,
2026-08-20,Grant Holmes,ATL,ATL @ CWS,2026-08-20T14:10:00+00:00,main,CWS,Mixed,0.91,17,87.1,7.832061524838835,11.801676,26.396648,26.2,,,4.6,4.5,106,-135,4.5,114,-146,4.5,-146,FD,0.1,No call,residual +0.10 > -0.75,Projected,0.0,Pass,3,6.0,,,Final,UNDER,
2026-08-20,Anthony Kay,CWS,ATL @ CWS,2026-08-20T14:10:00+00:00,main,CWS,Mixed,0.91,17,89.1,7.152985558249081,9.541284,25.504587,24.2,,,4.69,4.5,112,-142,4.5,118,-150,4.5,-150,FD,0.19,No call,residual +0.19 > -0.75,Projected,0.0,Pass,6,6.0,,,Final,OVER,
