date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-07-14,Dylan Cease,AME,AME @ NAT,2026-07-14T20:00:00+00:00,late,NAT,Mixed,0.91,17,98.1,13.545763412515074,14.950553,31.355439,,,,5.83,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,3,1.0,,,Final,,
2026-07-14,Cristopher Sánchez,NAT,AME @ NAT,2026-07-14T20:00:00+00:00,late,NAT,Mixed,0.91,19,120.1,10.24653782922371,15.222221999999999,31.333333000000003,,,,5.8,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,2,1.0,,,Final,,
