date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-08-03,Andrew Alvarez,WSN,WSN @ PHI,2026-08-03T18:40:00+00:00,main,PHI,Mixed,0.91,6,47,9.765958239450514,11.288344,27.852760999999997,25.7,,,,4.5,116,-148,4.5,112,-142,4.5,-148,DK,,Watch List,GS=6 < 10,Projected,0,Fail,5,6.1,,,Final,OVER,
2026-08-03,Aaron Nola,PHI,WSN @ PHI,2026-08-03T18:40:00+00:00,main,PHI,Mixed,0.91,18,92,9.195652173913043,11.44094,29.128015,25.6,,,5.31,5.5,107,-136,5.5,112,-142,5.5,-142,FD,-0.19,No call,residual -0.19 > -0.75,Projected,0.0,Pass,5,6.0,,,Final,UNDER,
2026-08-03,Michael McGreevy,STL,STL @ NYY,2026-08-03T19:05:00+00:00,late,NYY,Mixed,0.91,18,101.2,5.842623096969432,7.808564,24.370277,,,,4.32,4.5,129,-165,4.5,124,-160,4.5,-165,DK,-0.18,No call,residual -0.18 > -0.75,Projected,0.0,Pass,5,4.1,,,Final,OVER,
2026-08-03,Cam Schlittler,NYY,STL @ NYY,2026-08-03T19:05:00+00:00,late,NYY,Mixed,0.91,19,112,10.526785714285714,12.877030000000001,27.262181,,,,5.58,7.5,111,-142,6.5,-148,116,7.5,-142,DK,-1.92,Under,"Gate PASS: residual -1.92 ≤ -0.75, qualifying Under -142 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,6,3.0,,,Final,UNDER,BF WIN
2026-08-03,Bubba Chandler,PIT,PIT @ MIL,2026-08-03T19:40:00+00:00,late,MIL,Mixed,0.91,17,89.2,7.929368507637905,9.954457,24.137931000000002,,,,5.0,4.5,-138,108,4.5,-136,106,4.5,108,DK,0.5,No call,residual +0.50 > -0.75; best Under 108 (DK) > -130,Projected,0.0,Pass,5,5.2,,,Final,OVER,
2026-08-03,Brandon Sproat,MIL,PIT @ MIL,2026-08-03T19:40:00+00:00,late,MIL,Mixed,0.91,15,79,9.569620715255772,10.610465,26.81686,,,,5.53,5.5,104,-133,5.5,102,-130,5.5,-133,DK,0.03,No call,residual +0.03 > -0.75,Projected,0.0,Pass,4,3.0,,,Final,UNDER,
2026-08-03,TBD,LAD,LAD @ CHC,2026-08-03T20:05:00+00:00,main,CHC,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,,,,,,,no box score match
2026-08-03,Matthew Boyd,CHC,LAD @ CHC,2026-08-03T20:05:00+00:00,late,CHC,Mixed,0.91,8,39.2,9.983193917359035,13.777778,29.481481,,,,,4.5,-145,114,4.5,-142,112,4.5,114,DK,,Watch List,GS=8 < 10,Projected,0,Fail,3,6.2,,,Final,UNDER,
2026-08-03,Logan Webb,SFG,SFG @ TEX,2026-08-03T20:05:00+00:00,late,TEX,Mixed,0.91,16,100.1,7.1760795523284315,8.567604,26.104418000000003,,,,5.05,5.5,124,-159,4.5,-162,126,5.5,-159,DK,-0.45,No call,residual -0.45 > -0.75,Projected,0.0,Pass,8,6.0,,,Final,OVER,
2026-08-03,Shane Bieber,TOR,TOR @ HOU,2026-08-03T20:10:00+00:00,late,HOU,Mixed,0.91,,,,,,,,,,4.5,127,-162,4.5,128,-164,4.5,-164,FD,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,6,5.2,,,Final,OVER,
2026-08-03,Cristian Javier,HOU,TOR @ HOU,2026-08-03T20:10:00+00:00,late,HOU,Mixed,0.91,,,,,,,,,,3.5,-137,107,3.5,-154,120,3.5,120,FD,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,2,6.0,,,Final,UNDER,
