date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-07-30,Cole Winn,TEX,TEX @ TBR,2026-07-30T12:10:00+00:00,main,TBR,Mixed,0.91,0,31.1,9.19149141324643,13.32008,26.043738,28.1,,,,,,,,,,,,,,Watch List,GS=0 < 10,Projected,0,Fail,0,1.0,,,Final,,
2026-07-30,Shane McClanahan,TBR,TEX @ TBR,2026-07-30T12:10:00+00:00,main,TBR,Mixed,0.91,17,86,8.581395348837209,11.940299,28.656716,26.6,,,5.11,4.5,-140,100,,,,4.5,100,DK,0.61,No call,residual +0.61 > -0.75; best Under 100 (DK) > -130,Projected,0.0,Pass,3,3.0,,,Final,UNDER,
2026-07-30,Noah Cameron,KCR,KCR @ MIN,2026-07-30T13:40:00+00:00,main,MIN,Mixed,0.91,17,88.2,8.32330850940528,10.154242,25.642674,25.8,,,4.96,4.5,-131,103,4.5,-130,102,4.5,103,DK,0.46,No call,residual +0.46 > -0.75; best Under 103 (DK) > -130,Projected,0.0,Pass,7,8.0,,,Final,OVER,
2026-07-30,Bailey Ober,MIN,KCR @ MIN,2026-07-30T13:40:00+00:00,main,MIN,Mixed,0.91,13,71.2,6.404651390063313,9.312839,25.587703,20.4,,,4.58,4.5,128,-164,3.5,-164,128,4.5,-164,DK,0.08,No call,residual +0.08 > -0.75,Projected,0.0,Pass,3,6.0,,,Final,UNDER,
2026-07-30,Ryan Weathers,NYY,NYY @ CWS,2026-07-30T14:10:00+00:00,main,CWS,Mixed,0.91,17,92.1,10.137184673939215,11.263916,29.7315,28.4,,,5.68,6.5,119,-152,5.5,-160,124,6.5,-152,DK,-0.82,Under,"Gate PASS: residual -0.82 ≤ -0.75, qualifying Under -152 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,4,7.0,,,Final,UNDER,BF WIN
2026-07-30,Sean Burke,CWS,NYY @ CWS,2026-07-30T14:10:00+00:00,main,CWS,Mixed,0.91,14,98.2,9.668919168135131,10.552451999999999,29.236499,25.1,,,6.08,7.5,-107,-119,7.5,102,-130,7.5,-130,FD,-1.42,Under,"Gate PASS: residual -1.42 ≤ -0.75, qualifying Under -130 (FD), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,10,6.0,,,Final,OVER,BF LOSS
2026-07-30,Javier Assad,CHC,CHC @ STL,2026-07-30T14:15:00+00:00,main,STL,Mixed,0.91,7,56.1,5.272189825131553,5.090498,23.303167,9.7,,,,2.5,-133,104,2.5,-130,102,2.5,104,DK,,Watch List,GS=7 < 10,Projected,0,Fail,6,4.1,,,Final,OVER,
2026-07-30,Andre Pallante,STL,CHC @ STL,2026-07-30T14:15:00+00:00,main,STL,Mixed,0.91,18,100,6.48,8.439587,26.836673,21.5,,,4.3,4.5,128,-164,4.5,140,-180,4.5,-180,FD,-0.2,No call,residual -0.20 > -0.75,Projected,0.0,Pass,3,6.1,,,Final,UNDER,
2026-07-30,Yohan Ramírez,PIT,PIT @ CIN,2026-07-30T19:10:00+00:00,late,CIN,Mixed,0.91,0,50.2,10.302632871757416,10.965435,28.843861999999998,,,,,,,,,,,,,,,Watch List,GS=0 < 10,Projected,0,Fail,4,2.0,,,Final,,
2026-07-30,Rhett Lowder,CIN,PIT @ CIN,2026-07-30T19:10:00+00:00,late,CIN,Mixed,0.91,13,67.2,7.714286004213456,8.198121,26.729291,,,,4.65,4.5,-140,110,4.5,-130,102,4.5,110,DK,0.15,No call,residual +0.15 > -0.75; best Under 110 (DK) > -130,Projected,0.0,Pass,5,6.0,,,Final,OVER,
