date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-09-20,Cristopher Sánchez,PHI,PHI @ NYM,2026-09-20T13:10:00+00:00,main,NYM,Mixed,0.91,19,120.1,10.24653782922371,15.222221999999999,31.333333000000003,30.7,,,5.86,5.5,-110,-125,,,,5.5,-125,DK,0.36,No call,residual +0.36 > -0.75; best Under -125 (DK) > -130,Projected,38.0,Pass,6,6.1,,,Final,OVER,
2026-09-20,Jonah Tong,NYM,PHI @ NYM,2026-09-20T13:10:00+00:00,main,NYM,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,38,Fail,5,4.2,,,Final,,
2026-09-20,Michael Wacha,KCR,KCR @ PIT,2026-09-20T13:35:00+00:00,main,PIT,Mixed,0.91,19,119.1,7.240223772282255,9.162451,25.857223,21.7,,,4.94,3.5,-110,-120,,,,3.5,-120,DK,1.44,No call,residual +1.44 > -0.75; best Under -120 (DK) > -130,Projected,40.0,Pass,5,5.2,,,Final,OVER,
2026-09-20,Lake Bachar,PIT,KCR @ PIT,2026-09-20T13:35:00+00:00,main,PIT,Mixed,0.91,4,49,9.551021337608546,13.882064,28.746928999999998,31.0,,,,,,,,,,,,,,Watch List,GS=4 < 10,Projected,40,Fail,1,1.0,,,Final,,
2026-09-20,David Peterson,CHC,CHC @ CIN,2026-09-20T13:40:00+00:00,main,CIN,CS-Dependent,0.9,11,82.1,7.651822335050781,9.302325999999999,26.017442000000003,22.3,,,5.87,6.5,-145,105,,,,6.5,105,DK,-0.63,No call,residual -0.63 > -0.75; best Under 105 (DK) > -130,Projected,5.0,Pass,7,6.0,,,Final,OVER,
2026-09-20,Rhett Lowder,CIN,CHC @ CIN,2026-09-20T13:40:00+00:00,main,CIN,Mixed,0.91,13,67.2,7.714286004213456,8.198121,26.729291,18.6,,,4.65,,,,,,,,,,,No call,no residual; no Under price,Projected,5.0,Pass,3,3.0,,,Final,,
2026-09-20,Jack Perkins,OAK,OAK @ CLE,2026-09-20T13:40:00+00:00,main,CLE,Mixed,0.91,6,57.2,11.236995458547279,12.36715,28.985507,26.6,,,,3.5,-167,131,4.5,126,-162,3.5,-162,FD,,Watch List,GS=6 < 10,Projected,18,Fail,4,6.0,,,Final,OVER,
2026-09-20,Gavin Williams,CLE,OAK @ CLE,2026-09-20T13:40:00+00:00,main,CLE,Mixed,0.91,19,113.1,10.641176948151395,13.244296,31.274345999999998,32.4,,,5.73,8.5,108,-138,7.5,-154,120,8.5,-138,DK,-2.77,Under,"Gate PASS: residual -2.77 ≤ -0.75, qualifying Under -138 (DK), Rule 5 pass, PPD ≤ 50%",Projected,18.0,Pass,9,7.0,,,Final,OVER,BF LOSS
2026-09-20,Patrick Sandoval,BOS,BOS @ TBR,2026-09-20T13:40:00+00:00,main,TBR,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,5,7.0,,,Final,,
2026-09-20,Griffin Jax,TBR,BOS @ TBR,2026-09-20T13:40:00+00:00,main,TBR,Mixed,0.91,13,65,9.415385029809732,13.581489,29.778672,30.7,,,5.21,6.5,125,-170,,,,6.5,-170,DK,-1.29,Under,"Gate PASS: residual -1.29 ≤ -0.75, qualifying Under -170 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,5,5.0,,,Final,UNDER,BF WIN
