date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-09-25,Clay Holmes,CHC,CHC @ BOS,2026-09-25T13:05:00+00:00,main,BOS,Mixed,0.91,9,52.2,7.6898737890448166,9.178744,27.294686000000002,22.2,,,,,,,,,,,,,,Watch List,GS=9 < 10,Projected,3,Fail,3,4.1,,,Final,,
2026-09-25,Alec Gamboa,BOS,CHC @ BOS,2026-09-25T13:05:00+00:00,main,BOS,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,3,Fail,1,2.0,,,Final,,
2026-09-25,David Peterson,CHC,CHC @ BOS,2026-09-25T17:35:00+00:00,main,BOS,CS-Dependent,0.9,11,82.1,7.651822335050781,9.302325999999999,26.017442000000003,22.3,,,5.7,,,,,,,,,,,No call,no residual; no Under price,Projected,18.0,Pass,6,5.0,,,Final,,
2026-09-25,Brayan Bello,BOS,CHC @ BOS,2026-09-25T17:35:00+00:00,main,BOS,Mixed,0.91,8,61,6.491803684660095,11.058150999999999,25.452812,24.2,,,,,,,,,,,,,,Watch List,GS=8 < 10,Projected,18,Fail,2,4.0,,,Final,,
2026-09-25,Trevor Rogers,BAL,BAL @ NYY,2026-09-25T16:05:00+00:00,main,NYY,Mixed,0.91,17,90.1,6.874539132461781,10.645375999999999,25.881569999999996,24.2,,,4.63,,,,,,,,,,,No call,no residual; no Under price,Projected,5.0,Pass,4,4.0,,,Final,,
2026-09-25,Brendan Beck,NYY,BAL @ NYY,2026-09-25T16:05:00+00:00,main,NYY,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,5,Fail,8,5.0,,,Final,,
2026-09-25,Brandon Young,BAL,BAL @ NYY,2026-09-25T16:10:00+00:00,main,NYY,Mixed,0.91,14,77.1,7.215517715948547,10.505213,25.42101,24.0,,,4.6,,,,,,,,,,,No call,no residual; no Under price,Projected,5.0,Pass,6,5.0,,,Final,,
2026-09-25,TBD,NYY,BAL @ NYY,2026-09-25T16:10:00+00:00,main,NYY,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,5,Fail,,,,,,,no box score match
2026-09-25,Bubba Chandler,PIT,PIT @ DET,2026-09-25T18:40:00+00:00,main,DET,Mixed,0.91,17,89.2,7.929368507637905,9.954457,24.137931000000002,21.7,,,4.68,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,2,2.2,,,Final,,
2026-09-25,Jackson Jobe,DET,PIT @ DET,2026-09-25T18:40:00+00:00,main,DET,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,8,5.1,,,Final,,
