date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-08-06,Luis Castillo,CWS,CWS @ BOS,2026-08-06T19:10:00+00:00,late,BOS,Mixed,0.91,14,82.2,8.383065064153772,11.111111,24.242424,,,,5.29,,,,,,,,,,,No call,no residual; no Under price,Projected,2.0,Pass,5,4.0,,,Final,,
2026-08-06,Ranger Suarez,BOS,CWS @ BOS,2026-08-06T19:10:00+00:00,late,BOS,Mixed,0.91,17,91.1,9.55839469288149,10.428177,27.555249,,,,5.24,,,,,,,,,,,No call,no residual; no Under price,Projected,2.0,Pass,3,3.0,,,Final,,
2026-08-06,Janson Junk,MIA,MIA @ ATL,2026-08-06T19:15:00+00:00,late,ATL,Mixed,0.91,12,65,6.6461538461538465,6.859903000000001,23.961353,,,,4.73,,,,,,,,,,,No call,no residual; no Under price,Projected,18.0,Pass,1,3.0,,,Final,,
2026-08-06,Martín Pérez,ATL,MIA @ ATL,2026-08-06T19:15:00+00:00,late,ATL,Mixed,0.91,14,81.1,6.8606557645198,8.814353,27.457098000000002,,,,4.74,,,,,,,,,,,No call,no residual; no Under price,Projected,18.0,Pass,3,3.0,,,Final,,
2026-08-06,Bailey Ober,MIN,MIN @ KCR,2026-08-06T19:40:00+00:00,late,KCR,Mixed,0.91,13,71.2,6.404651390063313,9.312839,25.587703,,,,4.18,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,0,6.0,,,Final,,
2026-08-06,Michael Wacha,KCR,MIN @ KCR,2026-08-06T19:40:00+00:00,late,KCR,Mixed,0.91,19,119.1,7.240223772282255,9.162451,25.857223,,,,4.74,1.5,-135,100,,,,1.5,100,DK,3.24,No call,residual +3.24 > -0.75; best Under 100 (DK) > -130,Projected,0.0,Pass,1,5.2,,,Final,UNDER,
2026-08-06,Walker Buehler,SDP,SDP @ ARI,2026-08-06T21:40:00+00:00,late,ARI,Mixed,0.91,18,87,8.275862068965518,8.474576,26.440678000000002,,,,4.73,3.5,-123,-103,3.5,-122,-104,3.5,-103,DK,1.23,No call,residual +1.23 > -0.75; best Under -103 (DK) > -130,Projected,0.0,Pass,3,4.0,,,Final,UNDER,
2026-08-06,Kohl Drake,ARI,SDP @ ARI,2026-08-06T21:40:00+00:00,late,ARI,Mixed,0.91,,,,,,,,,,3.5,-144,113,3.5,-140,110,3.5,113,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,1,3.2,,,Final,UNDER,
