date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-09-04,Keider Montero,DET,DET @ CLE,2026-09-04T14:10:00+00:00,main,CLE,Mixed,0.91,15,94.1,5.724381991960161,7.1267819999999995,24.606152,18.4,,,4.61,2.5,-170,125,2.5,-172,134,2.5,134,FD,2.11,No call,residual +2.11 > -0.75; best Under 134 (FD) > -130,Projected,10.0,Pass,4,4.0,,,Final,OVER,
2026-09-04,Logan Allen,CLE,DET @ CLE,2026-09-04T14:10:00+00:00,main,CLE,Mixed,0.91,,,,,,,,,,3.5,115,-155,3.5,126,-162,3.5,-162,FD,,Watch List,Not in FG dashboard cohort,Projected,10,Fail,1,2.1,,,Final,UNDER,
2026-09-04,Andrew Sears,DET,DET @ CLE,2026-09-04T19:15:00+00:00,late,CLE,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,17,Fail,4,5.2,,,Final,,
2026-09-04,Foster Griffin,CLE,DET @ CLE,2026-09-04T19:15:00+00:00,late,CLE,Mixed,0.91,19,110.1,8.891239080572634,11.167513,29.159616,,,,5.43,5.5,111,-142,5.5,110,-140,5.5,-142,DK,-0.07,No call,residual -0.07 > -0.75,Projected,17.0,Pass,3,6.0,,,Final,UNDER,
2026-09-04,Shane Drohan,MIL,MIL @ CIN,2026-09-04T18:10:00+00:00,main,CIN,Mixed,0.91,8,63.2,8.623036993657337,11.584158,27.722772000000003,26.8,,,,5.5,-106,-121,5.5,102,-130,5.5,-130,FD,,Watch List,GS=8 < 10,Projected,2,Fail,5,4.0,,,Final,UNDER,
2026-09-04,Rhett Lowder,CIN,MIL @ CIN,2026-09-04T18:10:00+00:00,main,CIN,Mixed,0.91,13,67.2,7.714286004213456,8.198121,26.729291,18.9,,,4.65,3.5,-155,121,3.5,-154,120,3.5,121,DK,1.15,No call,residual +1.15 > -0.75; best Under 121 (DK) > -130,Projected,2.0,Pass,2,4.0,,,Final,UNDER,
2026-09-04,Chris Sale,ATL,ATL @ PHI,2026-09-04T18:40:00+00:00,main,PHI,Mixed,0.91,16,95,10.610526315789473,13.350616,30.848995000000002,30.5,,,5.75,6.5,-123,-104,6.5,-125,-102,6.5,-102,FD,-0.75,No call,best Under -102 (FD) > -130,Projected,11.0,Pass,7,6.0,,,Final,OVER,
2026-09-04,Cristopher Sánchez,PHI,ATL @ PHI,2026-09-04T18:40:00+00:00,main,PHI,Mixed,0.91,19,120.1,10.24653782922371,15.222221999999999,31.333333000000003,31.7,,,5.91,6.5,-114,-112,6.5,-115,-111,6.5,-111,FD,-0.59,No call,residual -0.59 > -0.75; best Under -111 (FD) > -130,Projected,11.0,Pass,5,6.0,,,Final,UNDER,
2026-09-04,Ryan Johnson,LAA,LAA @ PIT,2026-09-04T18:45:00+00:00,main,PIT,Mixed,0.91,5,28.1,7.623529753899507,12.572534,25.918762,22.4,,,,3.5,-129,101,3.5,-130,102,3.5,102,FD,,Watch List,GS=5 < 10,Projected,15,Fail,6,6.0,,,Final,OVER,
2026-09-04,Jared Jones,PIT,LAA @ PIT,2026-09-04T18:45:00+00:00,main,PIT,Mixed,0.91,8,35,10.028571428571428,14.211438000000001,27.729636000000003,30.5,,,,5.5,-142,111,6.5,124,-158,5.5,-158,FD,,Watch List,GS=8 < 10,Projected,15,Fail,9,6.0,,,Final,OVER,
2026-09-04,Ranger Suarez,BOS,BOS @ BAL,2026-09-04T19:05:00+00:00,late,BAL,Mixed,0.91,17,91.1,9.55839469288149,10.428177,27.555249,,,,5.27,5.5,-110,-120,5.5,-104,-122,5.5,-120,DK,-0.23,No call,residual -0.23 > -0.75; best Under -120 (DK) > -130,Projected,5.0,Pass,3,7.0,,,Final,UNDER,
2026-09-04,Shane Baz,BAL,BOS @ BAL,2026-09-04T19:05:00+00:00,late,BAL,Mixed,0.91,18,107,7.570093457943925,8.924485,24.771167,,,,4.93,,,,4.5,-148,116,4.5,116,FD,0.43,No call,residual +0.43 > -0.75; best Under 116 (FD) > -130,Projected,5.0,Pass,6,6.1,,,Final,OVER,
2026-09-04,Matt Wilkinson,SFG,SFG @ NYM,2026-09-04T19:10:00+00:00,late,NYM,Mixed,0.91,,,,,,,,,,3.5,-128,100,3.5,-120,-106,3.5,100,DK,,Watch List,Not in FG dashboard cohort,Projected,1,Fail,2,3.0,,,Final,UNDER,
