date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-09-19,Jackson Jobe,DET,DET @ CWS,2026-09-19T14:10:00+00:00,main,CWS,Mixed,0.91,,,,,,,,,,4.5,-132,103,4.5,-132,104,4.5,104,FD,,Watch List,Not in FG dashboard cohort,Projected,16,Fail,9,6.0,,,Final,OVER,
2026-09-19,Sean Burke,CWS,DET @ CWS,2026-09-19T14:10:00+00:00,main,CWS,Mixed,0.91,14,98.2,9.668919168135131,10.552451999999999,29.236499,25.5,,,6.08,5.5,-107,-119,5.5,-108,-118,5.5,-118,FD,0.58,No call,residual +0.58 > -0.75; best Under -118 (FD) > -130,Projected,16.0,Pass,5,6.0,,,Final,UNDER,
2026-09-19,Robert Gasser,MIL,MIL @ BAL,2026-09-19T16:05:00+00:00,main,BAL,Mixed,0.91,8,43.1,8.307692551471785,10.235131,26.970954000000003,21.9,,,,5.5,-116,-110,5.5,-102,-125,5.5,-110,DK,,Watch List,GS=8 < 10,Projected,5,Fail,2,7.0,,,Final,UNDER,
2026-09-19,Trevor Rogers,BAL,MIL @ BAL,2026-09-19T16:05:00+00:00,main,BAL,Mixed,0.91,17,90.1,6.874539132461781,10.645375999999999,25.881569999999996,23.9,,,4.52,5.5,-104,-123,5.5,106,-136,5.5,-136,FD,-0.98,Under,"Gate PASS: residual -0.98 ≤ -0.75, qualifying Under -136 (FD), Rule 5 pass, PPD ≤ 50%",Projected,5.0,Pass,10,8.0,,,Final,OVER,BF LOSS
2026-09-19,Brayan Bello,BOS,BOS @ TBR,2026-09-19T16:10:00+00:00,main,TBR,Mixed,0.91,8,61,6.491803684660095,11.058150999999999,25.452812,23.9,,,,2.5,-105,-121,2.5,-104,-122,2.5,-121,DK,,Watch List,GS=8 < 10,Projected,0,Fail,11,8.0,,,Final,OVER,
2026-09-19,Freddy Peralta,TBR,BOS @ TBR,2026-09-19T16:10:00+00:00,main,TBR,Mixed,0.91,19,100,8.820000672912649,10.987791,25.138735,25.3,,,5.37,5.5,124,-159,4.5,-154,120,5.5,-159,DK,-0.13,No call,residual -0.13 > -0.75,Projected,0.0,Pass,6,5.2,,,Final,OVER,
2026-09-19,Andrew Painter,PHI,PHI @ NYM,2026-09-19T16:10:00+00:00,main,NYM,Mixed,0.91,12,65,7.338461969138628,9.903592999999999,25.416301,24.6,,,4.62,4.5,-102,-125,4.5,102,-130,4.5,-130,FD,0.12,No call,residual +0.12 > -0.75,Projected,1.0,Pass,7,5.1,,,Final,OVER,
2026-09-19,Christian Scott,NYM,PHI @ NYM,2026-09-19T16:10:00+00:00,main,NYM,Mixed,0.91,12,54,10.833334098627592,11.600000000000001,26.700000000000003,27.3,,,5.4,5.5,122,-157,5.5,126,-162,5.5,-162,FD,-0.1,No call,residual -0.10 > -0.75,Projected,1.0,Pass,7,4.2,,,Final,OVER,
2026-09-19,Jacob Lopez,OAK,OAK @ CLE,2026-09-19T18:10:00+00:00,main,CLE,Mixed,0.91,10,53.2,7.04347834431285,7.869482,24.088292,24.6,,,4.77,4.5,104,-132,4.5,106,-136,4.5,-136,FD,0.27,No call,residual +0.27 > -0.75,Projected,41.0,Pass,1,2.2,,,Final,UNDER,
2026-09-19,Tanner Bibee,CLE,OAK @ CLE,2026-09-19T18:10:00+00:00,main,CLE,Mixed,0.91,19,106.1,7.109718208419093,10.863005000000001,27.519613999999997,23.6,,,4.62,4.5,-127,100,4.5,-120,-106,4.5,100,DK,0.12,No call,residual +0.12 > -0.75; best Under 100 (DK) > -130,Projected,41.0,Pass,2,4.2,,,Final,UNDER,
