date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-09-21,Trey Yesavage,TOR,TOR @ BAL,2026-09-21T18:35:00+00:00,main,BAL,Mixed,0.91,13,73.1,8.345455124279724,13.242783999999999,27.334465,30.0,,,5.11,3.5,121,-154,3.5,114,-146,3.5,-154,DK,1.61,No call,residual +1.61 > -0.75,Projected,24.0,Pass,3,2.0,,,Final,UNDER,
2026-09-21,Shane Baz,BAL,TOR @ BAL,2026-09-21T18:35:00+00:00,main,BAL,Mixed,0.91,18,107,7.570093457943925,8.924485,24.771167,21.8,,,4.93,4.5,130,-167,4.5,132,-170,4.5,-170,FD,0.43,No call,residual +0.43 > -0.75,Projected,24.0,Pass,2,6.2,,,Final,UNDER,
2026-09-21,DJ Herz,WSN,WSN @ DET,2026-09-21T18:40:00+00:00,main,DET,Mixed,0.91,,,,,,,,,,3.5,-160,125,4.5,128,-164,3.5,-164,FD,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,4,4.0,,,Final,OVER,
2026-09-21,River Ryan,DET,WSN @ DET,2026-09-21T18:40:00+00:00,main,DET,Mixed,0.91,,,,,,,,,,2.5,-107,-119,2.5,-113,-113,2.5,-113,FD,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,3,3.0,,,Final,OVER,
2026-09-21,Zebby Matthews,MIN,MIN @ SFG,2026-09-21T21:45:00+00:00,late,SFG,Mixed,0.91,10,61,7.524590163934426,9.989142,27.470140999999998,,,,5.01,4.5,-107,-119,4.5,-108,-118,4.5,-118,FD,0.51,No call,residual +0.51 > -0.75; best Under -118 (FD) > -130,Projected,0.0,Pass,9,5.0,,,Final,OVER,
2026-09-21,Blade Tidwell,SFG,MIN @ SFG,2026-09-21T21:45:00+00:00,late,SFG,Mixed,0.91,,,,,,,,,,3.5,-170,133,3.5,-158,124,3.5,133,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,4,3.1,,,Final,OVER,
