date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-07-22,Mitch Keller,PIT,PIT @ NYY,2026-07-22T13:05:00+00:00,main,NYY,Mixed,0.91,19,103.1,6.706451943007534,8.669476,24.683925000000002,20.4,,,4.62,4.5,112,-143,4.5,112,-142,4.5,-143,DK,0.12,No call,residual +0.12 > -0.75,Projected,1.0,Pass,6,5.0,,,Final,OVER,
2026-07-22,Gerrit Cole,NYY,PIT @ NYY,2026-07-22T13:05:00+00:00,main,NYY,Mixed,0.91,9,49,8.63265306122449,7.911803000000001,28.015563999999998,20.5,,,,6.5,-110,-116,6.5,-111,-115,6.5,-115,FD,,Watch List,GS=9 < 10,Projected,1,Fail,11,7.0,,,Final,OVER,
2026-07-22,Bubba Chandler,PIT,PIT @ NYY,2026-07-22T19:05:00+00:00,late,NYY,Mixed,0.91,17,89.2,7.929368507637905,9.954457,24.137931000000002,,,,4.77,4.5,-120,-106,4.5,-140,110,4.5,110,FD,0.27,No call,residual +0.27 > -0.75; best Under 110 (FD) > -130,Projected,0.0,Pass,5,6.1,,,Final,OVER,
2026-07-22,Max Fried,NYY,PIT @ NYY,2026-07-22T19:05:00+00:00,late,NYY,Mixed,0.91,10,61.2,7.297297598237635,10.032715,27.480916,,,,5.05,4.5,118,-151,3.5,-158,124,4.5,-151,DK,0.55,No call,residual +0.55 > -0.75,Projected,0.0,Pass,7,5.0,,,Final,OVER,
2026-07-22,Dean Kremer,BAL,BAL @ BOS,2026-07-22T13:35:00+00:00,main,BOS,Mixed,0.91,4,22,9.818181818181818,12.9683,29.971182000000002,33.8,,,,4.5,-143,112,4.5,-150,118,4.5,118,FD,,Watch List,GS=4 < 10,Projected,23,Fail,5,6.0,,,Final,OVER,
2026-07-22,Jake Bennett,BOS,BAL @ BOS,2026-07-22T13:35:00+00:00,main,BOS,Mixed,0.91,8,47.2,6.608391960965241,11.908396999999999,25.801527,22.8,,,,5.5,122,-156,4.5,-150,118,5.5,-156,DK,,Watch List,GS=8 < 10,Projected,23,Fail,4,5.2,,,Final,UNDER,
2026-07-22,Kyle Bradish,BAL,BAL @ BOS,2026-07-22T19:10:00+00:00,late,BOS,Mixed,0.91,18,100.2,9.029801552622247,10.654762,27.440476000000004,,,,5.38,5.5,124,-159,5.5,136,-174,5.5,-174,FD,-0.12,No call,residual -0.12 > -0.75,Projected,0.0,Pass,4,6.0,,,Final,UNDER,
2026-07-22,TBD,BOS,BAL @ BOS,2026-07-22T19:10:00+00:00,main,BOS,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,,,,,,,no box score match
2026-07-22,Landen Roupp,SFG,SFG @ KCR,2026-07-22T14:10:00+00:00,main,KCR,Mixed,0.91,18,97,9.649484536082474,10.305124000000001,27.576281,23.8,,,5.31,5.5,110,-140,5.5,124,-158,5.5,-158,FD,-0.19,No call,residual -0.19 > -0.75,Projected,2.0,Pass,7,6.0,,,Final,OVER,
2026-07-22,Seth Lugo,KCR,SFG @ KCR,2026-07-22T14:10:00+00:00,main,KCR,Mixed,0.91,18,100.2,7.152318061482968,7.5729359999999994,25.263811000000004,18.4,,,4.59,4.5,-101,-126,4.5,100,-128,4.5,-126,DK,0.09,No call,residual +0.09 > -0.75; best Under -126 (DK) > -130,Projected,2.0,Pass,5,7.0,,,Final,OVER,
2026-07-22,Christian Scott,NYM,NYM @ MIL,2026-07-22T14:10:00+00:00,main,MIL,Mixed,0.91,12,54,10.833334098627592,11.600000000000001,26.700000000000003,27.1,,,5.38,5.5,-122,-105,5.5,-125,-102,5.5,-102,FD,-0.12,No call,residual -0.12 > -0.75; best Under -102 (FD) > -130,Projected,0.0,Pass,6,3.2,,,Final,OVER,
2026-07-22,Logan Henderson,MIL,NYM @ MIL,2026-07-22T14:10:00+00:00,main,MIL,Mixed,0.91,6,28.1,10.800000484690969,13.255813999999999,27.441860000000002,26.2,,,,5.5,-127,100,5.5,-122,-104,5.5,100,DK,,Watch List,GS=6 < 10,Projected,0,Fail,9,5.0,,,Final,OVER,
2026-07-22,Cade Cavalli,WSN,WSN @ COL,2026-07-22T15:10:00+00:00,main,COL,Mixed,0.91,19,92.2,10.197842006486907,11.006879,29.018136,26.2,,,5.14,5.5,121,-155,5.5,110,-140,5.5,-155,DK,-0.36,No call,residual -0.36 > -0.75,Projected,21.0,Pass,8,6.0,,,Final,OVER,
2026-07-22,Gabriel Hughes,COL,WSN @ COL,2026-07-22T15:10:00+00:00,main,COL,Mixed,0.91,,,,,,,,,,4.5,112,-142,4.5,116,-148,4.5,-148,FD,,Watch List,Not in FG dashboard cohort,Projected,21,Fail,5,5.0,,,Final,OVER,
2026-07-22,Gage Jump,OAK,OAK @ ARI,2026-07-22T15:40:00+00:00,main,ARI,Mixed,0.91,8,43,8.581395348837209,10.635359,26.933701999999997,22.0,,,,4.5,-107,-119,4.5,106,-136,4.5,-136,FD,,Watch List,GS=8 < 10,Projected,0,Fail,5,4.2,,,Final,OVER,
2026-07-22,Merrill Kelly,ARI,OAK @ ARI,2026-07-22T15:40:00+00:00,main,ARI,Mixed,0.91,16,93.2,5.6690392998268235,9.533469,24.070318,20.5,,,4.14,3.5,-155,121,3.5,-156,122,3.5,122,FD,0.64,No call,residual +0.64 > -0.75; best Under 122 (FD) > -130,Projected,0.0,Pass,3,5.0,,,Final,UNDER,
2026-07-22,Brady Singer,CIN,CIN @ SEA,2026-07-22T15:40:00+00:00,main,SEA,CS-Dependent,0.9,18,89.2,7.628253004457069,9.84127,28.31746,25.4,,,4.83,5.5,119,-151,5.5,120,-154,5.5,-154,FD,-0.67,No call,residual -0.67 > -0.75,Projected,0.0,Pass,6,6.2,,,Final,OVER,
2026-07-22,Emerson Hancock,SEA,CIN @ SEA,2026-07-22T15:40:00+00:00,main,SEA,Mixed,0.91,17,97.2,8.477815920411611,10.568031999999999,23.645971,24.5,,,5.58,5.5,-120,-106,5.5,-120,-106,5.5,-106,DK,0.08,No call,residual +0.08 > -0.75; best Under -106 (DK) > -130,Projected,0.0,Pass,3,6.0,,,Final,UNDER,
2026-07-22,Hunter Dobbins,STL,STL @ LAA,2026-07-22T16:07:00+00:00,main,LAA,Mixed,0.91,3,22.1,9.268657244136142,9.547739,25.125628,17.1,,,,4.5,106,-135,3.5,-180,140,4.5,-135,DK,,Watch List,GS=3 < 10,Projected,0,Fail,5,6.0,,,Final,OVER,
2026-07-22,Reid Detmers,LAA,STL @ LAA,2026-07-22T16:07:00+00:00,main,LAA,Mixed,0.91,19,108.2,10.18711680282679,12.249443,28.452116,29.4,,,5.36,5.5,-154,120,6.5,144,-186,5.5,-186,FD,-0.14,No call,residual -0.14 > -0.75,Projected,0.0,Pass,6,5.1,,,Final,OVER,
2026-07-22,Bailey Ober,MIN,MIN @ CLE,2026-07-22T18:40:00+00:00,main,CLE,Mixed,0.91,13,71.2,6.404651390063313,9.312839,25.587703,20.7,,,4.55,4.5,121,-154,4.5,126,-162,4.5,-162,FD,0.05,No call,residual +0.05 > -0.75,Projected,0.0,Pass,2,4.0,,,Final,UNDER,
2026-07-22,Slade Cecconi,CLE,MIN @ CLE,2026-07-22T18:40:00+00:00,main,CLE,Mixed,0.91,19,99,7,8.379888000000001,25.574177999999996,20.5,,,4.65,3.5,-151,118,3.5,-158,124,3.5,124,FD,1.15,No call,residual +1.15 > -0.75; best Under 124 (FD) > -130,Projected,0.0,Pass,5,4.2,,,Final,OVER,
2026-07-22,Eric Lauer,LAD,LAD @ PHI,2026-07-22T18:40:00+00:00,main,PHI,Mixed,0.91,12,76.2,5.517391487366767,7.648495,22.050448,18.1,,,4.6,3.5,-119,-107,3.5,-132,104,3.5,104,FD,1.1,No call,residual +1.10 > -0.75; best Under 104 (FD) > -130,Projected,0.0,Pass,5,5.1,,,Final,OVER,
2026-07-22,Aaron Nola,PHI,LAD @ PHI,2026-07-22T18:40:00+00:00,main,PHI,Mixed,0.91,18,92,9.195652173913043,11.44094,29.128015,26.1,,,5.31,5.5,104,-133,5.5,112,-142,5.5,-142,FD,-0.19,No call,residual -0.19 > -0.75,Projected,0.0,Pass,4,5.1,,,Final,UNDER,
2026-07-22,Griffin Jax,TBR,TBR @ TOR,2026-07-22T19:07:00+00:00,late,TOR,Mixed,0.91,13,65,9.415385029809732,13.581489,29.778672,,,,5.11,4.5,-106,-120,4.5,-111,-115,4.5,-115,FD,0.61,No call,residual +0.61 > -0.75; best Under -115 (FD) > -130,Projected,0.0,Pass,5,6.0,,,Final,OVER,
2026-07-22,Braydon Fisher,TOR,TBR @ TOR,2026-07-22T19:07:00+00:00,late,TOR,Mixed,0.91,6,46,9.000001865884919,11.538461999999999,30.631868,,,,,,,,,,,,,,,Watch List,GS=6 < 10,Projected,0,Fail,1,1.1,,,Final,,
2026-07-22,Michael King,SDP,SDP @ ATL,2026-07-22T19:15:00+00:00,late,ATL,Mixed,0.91,19,108.1,7.64307728192032,10.283073,27.383015999999998,,,,5.07,4.5,109,-139,4.5,102,-130,4.5,-139,DK,0.57,No call,residual +0.57 > -0.75,Projected,12.0,Pass,7,6.0,,,Final,OVER,
2026-07-22,Martín Pérez,ATL,SDP @ ATL,2026-07-22T19:15:00+00:00,late,ATL,Mixed,0.91,14,81.1,6.8606557645198,8.814353,27.457098000000002,,,,4.74,3.5,-101,-126,3.5,100,-128,3.5,-126,DK,1.24,No call,residual +1.24 > -0.75; best Under -126 (DK) > -130,Projected,12.0,Pass,3,4.0,,,Final,UNDER,
2026-07-22,Anthony Kay,CWS,CWS @ TEX,2026-07-22T20:05:00+00:00,late,TEX,Mixed,0.91,17,89.1,7.152985558249081,9.541284,25.504587,,,,4.72,4.5,117,-149,4.5,108,-138,4.5,-149,DK,0.22,No call,residual +0.22 > -0.75,Projected,0.0,Pass,4,5.0,,,Final,UNDER,
