date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-07-18,Jared Jones,PIT,PIT @ CLE,2026-07-18T13:10:00+00:00,main,CLE,Mixed,0.91,8,35,10.028571428571428,14.211438000000001,27.729636000000003,31.2,,,,5.5,114,-146,5.5,108,-138,5.5,-146,DK,,Watch List,GS=8 < 10,Projected,33,Fail,9,5.0,,,Final,OVER,
2026-07-18,Gavin Williams,CLE,PIT @ CLE,2026-07-18T13:10:00+00:00,main,CLE,Mixed,0.91,19,113.1,10.641176948151395,13.244296,31.274345999999998,29.2,,,5.73,7.5,103,-132,7.5,118,-150,7.5,-150,FD,-1.77,Under,"Gate PASS: residual -1.77 ≤ -0.75, qualifying Under -150 (FD), Rule 5 pass, PPD ≤ 50%",Projected,33.0,Pass,11,6.0,,,Final,OVER,BF LOSS
2026-07-18,TBD,PIT,PIT @ CLE,2026-07-18T19:10:00+00:00,main,CLE,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,7,Fail,,,,,,,no box score match
2026-07-18,Logan Allen,CLE,PIT @ CLE,2026-07-18T19:10:00+00:00,late,CLE,Mixed,0.91,,,,,,,,,,4.5,-136,107,,,,4.5,107,DK,,Watch List,Not in FG dashboard cohort,Projected,3,Fail,3,3.1,,,Final,UNDER,
2026-07-18,Taj Bradley,MIN,MIN @ CHC,2026-07-18T14:20:00+00:00,main,CHC,Mixed,0.91,17,95.2,10.536585645950414,11.543135,27.703524,27.0,,,5.4,5.5,-140,110,5.5,-148,116,5.5,116,FD,-0.1,No call,residual -0.10 > -0.75; best Under 116 (FD) > -130,Projected,1.0,Pass,6,5.0,,,Final,OVER,
2026-07-18,Matthew Boyd,CHC,MIN @ CHC,2026-07-18T14:20:00+00:00,main,CHC,Mixed,0.91,8,39.2,9.983193917359035,13.777778,29.481481,29.4,,,,5.5,127,-163,4.5,-160,124,5.5,-163,DK,,Watch List,GS=8 < 10,Projected,1,Fail,4,6.0,,,Final,UNDER,
2026-07-18,Sean Manaea,NYM,NYM @ PHI,2026-07-18T15:05:00+00:00,main,PHI,Mixed,0.91,6,75,8.880000451660178,9.730539,25.523952,19.8,,,,5.5,124,-159,5.5,120,-154,5.5,-159,DK,,Watch List,GS=6 < 10,Projected,56,Fail,7,4.2,,,Final,OVER,
2026-07-18,Jesús Luzardo,PHI,NYM @ PHI,2026-07-18T15:05:00+00:00,main,PHI,Mixed,0.91,19,110.1,11.093656100530993,14.052287999999999,32.08061,33.2,,,5.87,6.5,-155,122,6.5,-146,114,6.5,122,DK,-0.63,No call,residual -0.63 > -0.75; best Under 122 (DK) > -130; PPD 56.0% > 50%,Projected,56.0,Pass,7,5.0,,,Final,OVER,
2026-07-18,Davis Martin,CWS,CWS @ TOR,2026-07-18T15:07:00+00:00,main,TOR,Mixed,0.91,18,100.1,8.252492112701118,11.387679,26.757934,25.8,,,5.02,3.5,-109,-117,3.5,-132,104,3.5,104,FD,1.52,No call,residual +1.52 > -0.75; best Under 104 (FD) > -130,Projected,0.0,Pass,5,5.2,,,Final,OVER,
2026-07-18,Shane Bieber,TOR,CWS @ TOR,2026-07-18T15:07:00+00:00,main,TOR,Mixed,0.91,,,,,,,,,,4.5,-147,115,4.5,-142,112,4.5,115,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,6,6.0,,,Final,OVER,
