date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-09-10,Nick Martinez,TBR,TBR @ ATL,2026-09-10T12:15:00+00:00,main,ATL,Mixed,0.91,17,100,5.49,8.351026000000001,25.548478000000003,17.4,,,4.4,,,,,,,,,,,No call,no residual; no Under price,Projected,2.0,Pass,3,6.1,,,Final,,
2026-09-10,Martín Pérez,ATL,TBR @ ATL,2026-09-10T12:15:00+00:00,main,ATL,Mixed,0.91,14,81.1,6.8606557645198,8.814353,27.457098000000002,20.1,,,4.74,,,,,,,,,,,No call,no residual; no Under price,Projected,2.0,Pass,4,7.0,,,Final,,
2026-09-10,Cristian Javier,HOU,HOU @ PHI,2026-09-10T13:05:00+00:00,main,PHI,Mixed,0.91,,,,,,,,,,3.5,145,-200,,,,3.5,-200,DK,,Watch List,Not in FG dashboard cohort,Projected,4,Fail,5,6.0,,,Final,OVER,
2026-09-10,Zack Wheeler,PHI,HOU @ PHI,2026-09-10T13:05:00+00:00,main,PHI,Mixed,0.91,14,87,10.137931034482758,12.675018,26.97126,31.1,,,5.75,6.5,-145,110,,,,6.5,110,DK,-0.75,No call,best Under 110 (DK) > -130,Projected,4.0,Pass,9,7.0,,,Final,OVER,
2026-09-10,Jacob deGrom,TEX,TEX @ SEA,2026-09-10T16:10:00+00:00,main,SEA,Mixed,0.91,18,100.2,10.907285043761526,16.811955,30.697385,34.8,,,5.92,6.5,-130,102,6.5,-122,-104,6.5,102,DK,-0.58,No call,residual -0.58 > -0.75; best Under 102 (DK) > -130,Projected,0.0,Pass,12,6.0,,,Final,OVER,
2026-09-10,Logan Gilbert,SEA,TEX @ SEA,2026-09-10T16:10:00+00:00,main,SEA,Mixed,0.91,18,107.1,9.55900666415797,13.692946000000001,28.92709,29.7,,,5.57,7.5,123,-158,6.5,-142,112,7.5,-158,DK,-1.93,Under,"Gate PASS: residual -1.93 ≤ -0.75, qualifying Under -158 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,11,7.0,,,Final,OVER,BF LOSS
2026-09-10,Ryan Feltner,COL,COL @ NYY,2026-09-10T19:05:00+00:00,late,NYY,Mixed,0.91,13,63.1,6.678947502516646,10.856574,25.498008,,,,4.28,,,,4.5,-102,-125,4.5,-125,FD,-0.22,No call,residual -0.22 > -0.75; best Under -125 (FD) > -130,Projected,3.0,Pass,2,5.0,,,Final,UNDER,
2026-09-10,Max Fried,NYY,COL @ NYY,2026-09-10T19:05:00+00:00,late,NYY,Mixed,0.91,10,61.2,7.297297598237635,10.032715,27.480916,,,,5.05,6.5,-105,-130,5.5,-104,-122,6.5,-130,DK,-1.45,Under,"Gate PASS: residual -1.45 ≤ -0.75, qualifying Under -130 (DK), Rule 5 pass, PPD ≤ 50%",Projected,3.0,Pass,7,3.1,,,Final,OVER,BF LOSS
2026-09-10,Jared Jones,PIT,PIT @ CWS,2026-09-10T19:40:00+00:00,late,CWS,Mixed,0.91,8,35,10.028571428571428,14.211438000000001,27.729636000000003,,,,,5.5,-158,124,5.5,-156,122,5.5,124,DK,,Watch List,GS=8 < 10,Projected,0,Fail,8,7.0,,,Final,OVER,
2026-09-10,Hagen Smith,CWS,PIT @ CWS,2026-09-10T19:40:00+00:00,late,CWS,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,3,2.0,,,Final,,
