date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-07-23,Kyle Hart,SDP,SDP @ ATL,2026-07-23T12:15:00+00:00,main,ATL,Mixed,0.91,1,32.2,7.714286765273879,8.143939,28.030303,19.5,,,,,,,,,,,,,,Watch List,GS=1 < 10,Projected,5,Fail,1,1.0,,,Final,,
2026-07-23,Chris Sale,ATL,SDP @ ATL,2026-07-23T12:15:00+00:00,main,ATL,Mixed,0.91,16,95,10.610526315789473,13.350616,30.848995000000002,29.9,,,5.81,9.5,-130,-105,,,,9.5,-105,DK,-3.69,No call,best Under -105 (DK) > -130,Projected,5.0,Pass,11,6.0,,,Final,OVER,
2026-07-23,Taj Bradley,MIN,MIN @ CLE,2026-07-23T13:10:00+00:00,main,CLE,Mixed,0.91,17,95.2,10.536585645950414,11.543135,27.703524,27.2,,,5.37,5.5,-160,125,5.5,-156,122,5.5,125,DK,-0.13,No call,residual -0.13 > -0.75; best Under 125 (DK) > -130,Projected,0.0,Pass,5,7.0,,,Final,UNDER,
2026-07-23,Gavin Williams,CLE,MIN @ CLE,2026-07-23T13:10:00+00:00,main,CLE,Mixed,0.91,19,113.1,10.641176948151395,13.244296,31.274345999999998,29.4,,,5.73,6.5,-145,113,6.5,-130,102,6.5,113,DK,-0.77,No call,best Under 113 (DK) > -130,Projected,0.0,Pass,11,7.0,,,Final,OVER,
2026-07-23,Casey Legumina,TBR,TBR @ TOR,2026-07-23T15:07:00+00:00,main,TOR,Mixed,0.91,2,38.1,6.573914242836607,9.656301000000001,24.549918,18.8,,,,,,,,,,,,,,Watch List,GS=2 < 10,Projected,0,Fail,2,2.0,,,Final,,
2026-07-23,Shane Bieber,TOR,TBR @ TOR,2026-07-23T15:07:00+00:00,main,TOR,Mixed,0.91,,,,,,,,,,4.5,131,-168,4.5,124,-160,4.5,-168,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,3,7.0,,,Final,UNDER,
2026-07-23,Brandon Pfaadt,ARI,ARI @ STL,2026-07-23T17:15:00+00:00,main,STL,Mixed,0.91,5,48.1,7.2620694431482145,10.065359,26.666667,20.7,,,,3.5,-105,-121,3.5,-108,-118,3.5,-118,FD,,Watch List,GS=5 < 10,Projected,1,Fail,1,6.0,,,Final,UNDER,
2026-07-23,Michael McGreevy,STL,ARI @ STL,2026-07-23T17:15:00+00:00,main,STL,Mixed,0.91,18,101.2,5.842623096969432,7.808564,24.370277,19.4,,,4.04,3.5,103,-131,3.5,124,-158,3.5,-158,FD,0.54,No call,residual +0.54 > -0.75,Projected,1.0,Pass,3,6.1,,,Final,UNDER,
2026-07-23,Randy Dobnak,KCR,KCR @ DET,2026-07-23T18:40:00+00:00,main,DET,Mixed,0.91,,,,,,,,,,3.5,129,-166,3.5,128,-164,3.5,-166,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,3,5.0,,,Final,UNDER,
2026-07-23,Troy Melton,DET,KCR @ DET,2026-07-23T18:40:00+00:00,main,DET,Mixed,0.91,8,49.1,7.47972992251963,10.903874,24.964132,24.9,,,,5.5,-136,106,5.5,-118,-108,5.5,106,DK,,Watch List,GS=8 < 10,Projected,0,Fail,5,5.0,,,Final,UNDER,
