date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-09-05,Anthony Molina,SFG,SFG @ NYM,2026-09-05T16:10:00+00:00,main,NYM,Mixed,0.91,,,,,,,,,,3.5,-106,-121,3.5,112,-142,3.5,-142,FD,,Watch List,Not in FG dashboard cohort,Projected,1,Fail,6,5.0,,,Final,OVER,
2026-09-05,Zac Thornton,NYM,SFG @ NYM,2026-09-05T16:10:00+00:00,main,NYM,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,1,Fail,6,5.0,,,Final,,
2026-09-05,Javier Assad,CHC,CHC @ MIA,2026-09-05T16:10:00+00:00,main,MIA,Mixed,0.91,7,56.1,5.272189825131553,5.090498,23.303167,13.4,,,,3.5,100,-128,3.5,112,-142,3.5,-142,FD,,Watch List,GS=7 < 10,Projected,0,Fail,3,4.2,,,Final,UNDER,
2026-09-05,Ryan Gusto,MIA,CHC @ MIA,2026-09-05T16:10:00+00:00,main,MIA,Mixed,0.91,6,24.1,8.136986726577275,9.433962,24.292453,21.8,,,,3.5,-136,107,3.5,-132,104,3.5,107,DK,,Watch List,GS=6 < 10,Projected,0,Fail,5,4.2,,,Final,OVER,
2026-09-05,Martín Pérez,ATL,ATL @ PHI,2026-09-05T18:05:00+00:00,main,PHI,Mixed,0.91,14,81.1,6.8606557645198,8.814353,27.457098000000002,20.4,,,4.68,3.5,105,-133,3.5,102,-130,3.5,-133,DK,1.18,No call,residual +1.18 > -0.75,Projected,2.0,Pass,3,3.2,,,Final,UNDER,
2026-09-05,Zack Wheeler,PHI,ATL @ PHI,2026-09-05T18:05:00+00:00,main,PHI,Mixed,0.91,14,87,10.137931034482758,12.675018,26.97126,30.8,,,5.75,6.5,-109,-117,6.5,-113,-113,6.5,-113,FD,-0.75,No call,best Under -113 (FD) > -130,Projected,2.0,Pass,9,6.0,,,Final,OVER,
2026-09-05,Framber Valdez,DET,DET @ CLE,2026-09-05T18:10:00+00:00,main,CLE,Mixed,0.91,19,107.2,7.27244599221164,9.010601,26.383981000000002,20.1,,,4.75,3.5,-143,112,3.5,-142,112,3.5,112,DK,1.25,No call,residual +1.25 > -0.75; best Under 112 (DK) > -130,Projected,0.0,Pass,3,7.0,,,Final,UNDER,
2026-09-05,Parker Messick,CLE,DET @ CLE,2026-09-05T18:10:00+00:00,main,CLE,Mixed,0.91,18,106,9.254717647244266,11.306991,26.686929999999997,24.5,,,5.68,6.5,110,-141,6.5,116,-148,6.5,-148,FD,-0.82,Under,"Gate PASS: residual -0.82 ≤ -0.75, qualifying Under -148 (FD), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,12,6.0,,,Final,OVER,BF LOSS
2026-09-05,Yusei Kikuchi,LAA,LAA @ PIT,2026-09-05T18:40:00+00:00,main,PIT,Mixed,0.91,7,31,9.580645161290322,10.229277,25.396825,25.2,,,,5.5,-106,-120,5.5,-115,-111,5.5,-111,FD,,Watch List,GS=7 < 10,Projected,0,Fail,6,6.0,,,Final,OVER,
2026-09-05,Braxton Ashcraft,PIT,LAA @ PIT,2026-09-05T18:40:00+00:00,main,PIT,Mixed,0.91,18,108.1,10.135385091242163,13.349969,29.881472,26.2,,,5.34,6.5,124,-159,5.5,-164,128,6.5,-159,DK,-1.16,Under,"Gate PASS: residual -1.16 ≤ -0.75, qualifying Under -159 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,9,5.0,,,Final,OVER,BF LOSS
