date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-08-29,Jake Bennett,BOS,BOS @ NYY,2026-08-29T13:05:00+00:00,main,NYY,Mixed,0.91,8,47.2,6.608391960965241,11.908396999999999,25.801527,22.2,,,,,,,,,,,,,,Watch List,GS=8 < 10,Projected,0,Fail,7,6.0,,,Final,,
2026-08-29,Carlos Rodón,NYY,BOS @ NYY,2026-08-29T13:05:00+00:00,main,NYY,Mixed,0.91,9,46.1,10.100719701663222,12.560386000000001,25.362319,27.5,,,,,,,,,,,,,,Watch List,GS=9 < 10,Projected,0,Fail,5,4.2,,,Final,,
2026-08-29,TBD,BOS,BOS @ NYY,2026-08-29T19:15:00+00:00,main,NYY,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,,,,,,,no box score match
2026-08-29,Max Fried,NYY,BOS @ NYY,2026-08-29T19:15:00+00:00,late,NYY,Mixed,0.91,10,61.2,7.297297598237635,10.032715,27.480916,,,,5.05,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,4,3.2,,,Final,,
2026-08-29,Blake Snell,LAD,LAD @ DET,2026-08-29T13:10:00+00:00,main,DET,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,10,5.0,,,Final,,
2026-08-29,Keider Montero,DET,LAD @ DET,2026-08-29T13:10:00+00:00,main,DET,Mixed,0.91,15,94.1,5.724381991960161,7.1267819999999995,24.606152,18.5,,,4.5,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,3,5.1,,,Final,,
2026-08-29,Erick Fedde,CWS,CWS @ MIN,2026-08-29T14:10:00+00:00,main,MIN,Mixed,0.91,9,85,6.035294388503776,7.3220339999999995,24.881356,18.2,,,,,,,,,,,,,,Watch List,GS=9 < 10,Projected,2,Fail,4,5.0,,,Final,,
2026-08-29,Bailey Ober,MIN,CWS @ MIN,2026-08-29T14:10:00+00:00,main,MIN,Mixed,0.91,13,71.2,6.404651390063313,9.312839,25.587703,20.7,,,4.58,,,,,,,,,,,No call,no residual; no Under price,Projected,2.0,Pass,5,5.0,,,Final,,
2026-08-29,Lake Bachar,PIT,PIT @ STL,2026-08-29T14:15:00+00:00,main,STL,Mixed,0.91,4,49,9.551021337608546,13.882064,28.746928999999998,30.6,,,,,,,,,,,,,,Watch List,GS=4 < 10,Projected,0,Fail,2,2.1,,,Final,,
2026-08-29,Kyle Leahy,STL,PIT @ STL,2026-08-29T14:15:00+00:00,main,STL,Mixed,0.91,17,86.1,7.610039058378304,8.735149999999999,25.366875999999998,22.4,,,4.53,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,3,3.0,,,Final,,
