date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-07-29,Jesús Luzardo,PHI,PHI @ MIA,2026-07-29T12:10:00+00:00,main,MIA,Mixed,0.91,19,110.1,11.093656100530993,14.052287999999999,32.08061,32.3,,,5.67,6.5,100,-135,,,,6.5,-135,DK,-0.83,Under,"Gate PASS: residual -0.83 ≤ -0.75, qualifying Under -135 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,5,6.1,,,Final,UNDER,BF WIN
2026-07-29,Ryan Gusto,MIA,PHI @ MIA,2026-07-29T12:10:00+00:00,main,MIA,Mixed,0.91,6,24.1,8.136986726577275,9.433962,24.292453,25.4,,,,,,,,,,,,,,Watch List,GS=6 < 10,Projected,0,Fail,3,5.0,,,Final,,
2026-07-29,Eduardo Rodriguez,ARI,ARI @ PIT,2026-07-29T12:35:00+00:00,main,PIT,Mixed,0.91,18,108,6.166666666666667,7.81893,24.57378,19.8,,,4.53,4.5,-139,109,4.5,-130,102,4.5,109,DK,0.03,No call,residual +0.03 > -0.75; best Under 109 (DK) > -130,Projected,0.0,Pass,2,8.0,,,Final,UNDER,
2026-07-29,Jared Jones,PIT,ARI @ PIT,2026-07-29T12:35:00+00:00,main,PIT,Mixed,0.91,8,35,10.028571428571428,14.211438000000001,27.729636000000003,30.1,,,,4.5,-159,124,4.5,-160,124,4.5,124,DK,,Watch List,GS=8 < 10,Projected,0,Fail,5,6.0,,,Final,OVER,
2026-07-29,Trey Yesavage,TOR,TOR @ WSN,2026-07-29T13:05:00+00:00,main,WSN,Mixed,0.91,13,73.1,8.345455124279724,13.242783999999999,27.334465,30.7,,,4.91,5.5,-104,-123,5.5,106,-136,5.5,-136,FD,-0.59,No call,residual -0.59 > -0.75,Projected,0.0,Pass,4,6.2,,,Final,UNDER,
2026-07-29,Zack Littell,WSN,TOR @ WSN,2026-07-29T13:05:00+00:00,main,WSN,Mixed,0.91,12,86,5.441860585808434,7.681053,22.311631000000002,17.5,,,4.53,2.5,-154,121,2.5,-154,120,2.5,121,DK,2.03,No call,residual +2.03 > -0.75; best Under 121 (DK) > -130,Projected,0.0,Pass,2,4.2,,,Final,UNDER,
2026-07-29,Trevor Rogers,BAL,BAL @ DET,2026-07-29T13:10:00+00:00,main,DET,Mixed,0.91,17,90.1,6.874539132461781,10.645375999999999,25.881569999999996,23.2,,,4.54,4.5,-133,104,4.5,-132,104,4.5,104,DK,0.04,No call,residual +0.04 > -0.75; best Under 104 (DK) > -130,Projected,0.0,Pass,6,6.0,,,Final,OVER,
2026-07-29,Tarik Skubal,DET,BAL @ DET,2026-07-29T13:10:00+00:00,main,DET,Mixed,0.91,12,70.2,10.698113592547779,14.967258999999999,30.49579,31.8,,,5.58,8.5,-123,-104,8.5,102,-130,8.5,-130,FD,-2.92,Under,"Gate PASS: residual -2.92 ≤ -0.75, qualifying Under -130 (FD), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,6,6.2,,,Final,UNDER,BF WIN
2026-07-29,AJ Smith-Shawver,ATL,ATL @ NYM,2026-07-29T13:10:00+00:00,main,NYM,Mixed,0.91,,,,,,,,,,4.5,-114,-112,4.5,-115,-111,4.5,-111,FD,,Watch List,Not in FG dashboard cohort,Projected,17,Fail,4,4.1,,,Final,UNDER,
2026-07-29,Sean Manaea,NYM,ATL @ NYM,2026-07-29T13:10:00+00:00,main,NYM,Mixed,0.91,6,75,8.880000451660178,9.730539,25.523952,21.2,,,,4.5,-163,127,4.5,-148,116,4.5,127,DK,,Watch List,GS=6 < 10,Projected,17,Fail,4,6.0,,,Final,UNDER,
2026-07-29,Chris Sale,ATL,ATL @ NYM,2026-07-29T19:10:00+00:00,late,NYM,Mixed,0.91,16,95,10.610526315789473,13.350616,30.848995000000002,,,,5.69,7.5,100,-128,7.5,-102,-125,7.5,-125,FD,-1.81,No call,best Under -125 (FD) > -130,Projected,6.0,Pass,9,6.0,,,Final,OVER,
2026-07-29,Christian Scott,NYM,ATL @ NYM,2026-07-29T19:10:00+00:00,late,NYM,Mixed,0.91,12,54,10.833334098627592,11.600000000000001,26.700000000000003,,,,5.4,5.5,105,-134,5.5,104,-132,5.5,-134,DK,-0.1,No call,residual -0.10 > -0.75,Projected,6.0,Pass,7,6.0,,,Final,OVER,
2026-07-29,Thomas Pannone,MIL,MIL @ SFG,2026-07-29T15:45:00+00:00,main,SFG,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,2,3.0,,,Final,,
2026-07-29,Logan Webb,SFG,MIL @ SFG,2026-07-29T15:45:00+00:00,main,SFG,Mixed,0.91,16,100.1,7.1760795523284315,8.567604,26.104418000000003,20.4,,,4.93,5.5,110,-140,5.5,106,-136,5.5,-140,DK,-0.57,No call,residual -0.57 > -0.75,Projected,0.0,Pass,4,6.0,,,Final,UNDER,
2026-07-29,Gabriel Hughes,COL,COL @ SDP,2026-07-29T16:10:00+00:00,main,SDP,Mixed,0.91,,,,,,,,,,4.5,120,-153,4.5,118,-150,4.5,-153,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,2,5.0,,,Final,UNDER,
2026-07-29,TBD,SDP,COL @ SDP,2026-07-29T16:10:00+00:00,main,SDP,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,,,,,,,no box score match
2026-07-29,MacKenzie Gore,TEX,TEX @ TBR,2026-07-29T18:40:00+00:00,main,TBR,Mixed,0.91,19,101,9.891089108910892,11.471611,26.071842,26.0,,,5.69,5.5,113,-144,5.5,118,-150,5.5,-150,FD,0.19,No call,residual +0.19 > -0.75,Projected,0.0,Pass,9,7.0,,,Final,OVER,
2026-07-29,Casey Legumina,TBR,TEX @ TBR,2026-07-29T18:40:00+00:00,main,TBR,Mixed,0.91,2,38.1,6.573914242836607,9.656301000000001,24.549918,18.3,,,,,,,,,,,,,,Watch List,GS=2 < 10,Projected,0,Fail,0,1.2,,,Final,,
