date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-07-25,Michael Wacha,KCR,KCR @ DET,2026-07-25T13:10:00+00:00,main,DET,Mixed,0.91,19,119.1,7.240223772282255,9.162451,25.857223,21.6,,,5.0,4.5,-159,124,5.5,138,-178,4.5,-178,FD,0.5,No call,residual +0.50 > -0.75,Projected,0.0,Pass,3,7.0,,,Final,UNDER,
2026-07-25,Casey Mize,DET,KCR @ DET,2026-07-25T13:10:00+00:00,main,DET,Mixed,0.91,13,71.2,9.041860785971735,12.52354,30.414313,29.3,,,5.38,5.5,-114,-111,5.5,100,-128,5.5,-111,DK,-0.12,No call,residual -0.12 > -0.75; best Under -111 (DK) > -130,Projected,0.0,Pass,3,6.0,,,Final,UNDER,
2026-07-25,Mitch Bratt,ARI,ARI @ WSN,2026-07-25T16:05:00+00:00,main,WSN,Mixed,0.91,,,,,,,,,,3.5,-117,-109,3.5,-113,-113,3.5,-109,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,3,5.0,,,Final,UNDER,
2026-07-25,Foster Griffin,WSN,ARI @ WSN,2026-07-25T16:05:00+00:00,main,WSN,Mixed,0.91,19,110.1,8.891239080572634,11.167513,29.159616,25.3,,,5.31,4.5,-131,103,4.5,-130,102,4.5,103,DK,0.81,No call,residual +0.81 > -0.75; best Under 103 (DK) > -130,Projected,0.0,Pass,2,6.2,,,Final,UNDER,
2026-07-25,Ryan Johnson,LAA,LAA @ SFG,2026-07-25T16:05:00+00:00,main,SFG,Mixed,0.91,5,28.1,7.623529753899507,12.572534,25.918762,22.8,,,,3.5,-135,106,3.5,-128,100,3.5,106,DK,,Watch List,GS=5 < 10,Projected,0,Fail,4,3.1,,,Final,OVER,
2026-07-25,Robbie Ray,SFG,LAA @ SFG,2026-07-25T16:05:00+00:00,main,SFG,Mixed,0.91,17,101.2,7.613115158778199,10.708015999999999,23.464014,25.3,,,4.98,5.5,-143,112,5.5,-132,104,5.5,112,DK,-0.52,No call,residual -0.52 > -0.75; best Under 112 (DK) > -130,Projected,0.0,Pass,5,6.0,,,Final,UNDER,
2026-07-25,Dylan Cease,TOR,TOR @ BOS,2026-07-25T16:10:00+00:00,main,BOS,Mixed,0.91,17,98.1,13.545763412515074,14.950553,31.355439,36.3,,,5.71,7.5,-113,-113,7.5,-111,-115,7.5,-113,DK,-1.79,No call,best Under -113 (DK) > -130,Projected,0.0,Pass,12,9.0,,,Final,OVER,
2026-07-25,Sonny Gray,BOS,TOR @ BOS,2026-07-25T16:10:00+00:00,main,BOS,Mixed,0.91,16,89.2,8.230483504808944,10.146042,27.44043,22.4,,,5.0,4.5,-137,108,4.5,-128,100,4.5,108,DK,0.5,No call,residual +0.50 > -0.75; best Under 108 (DK) > -130,Projected,0.0,Pass,3,5.0,,,Final,UNDER,
2026-07-25,Randy Vásquez,SDP,SDP @ MIA,2026-07-25T16:10:00+00:00,main,MIA,Mixed,0.91,16,84,6.428571647527274,9.014675,23.759609,19.6,,,4.27,,,,,,,,,,,No call,no residual; no Under price,Projected,0.0,Pass,0,2.2,,,Final,,
2026-07-25,Eury Pérez,MIA,SDP @ MIA,2026-07-25T16:10:00+00:00,main,MIA,Mixed,0.91,15,79.2,10.054393626397221,13.664122,25.877863,29.6,,,5.44,6.5,117,-149,5.5,-160,124,6.5,-149,DK,-1.06,Under,"Gate PASS: residual -1.06 ≤ -0.75, qualifying Under -149 (DK), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,2,7.0,,,Final,UNDER,BF WIN
2026-07-25,Ryan Weathers,NYY,NYY @ PHI,2026-07-25T18:05:00+00:00,main,PHI,Mixed,0.91,17,92.1,10.137184673939215,11.263916,29.7315,28.6,,,5.79,6.5,124,-159,6.5,128,-164,6.5,-164,FD,-0.71,No call,residual -0.71 > -0.75,Projected,0.0,Pass,7,5.2,,,Final,OVER,
2026-07-25,TBD,PHI,NYY @ PHI,2026-07-25T18:05:00+00:00,main,PHI,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,,,,,,,no box score match
